NAME	GS_SIZE	ES	NES	NOM_pval	FDR_qval	FWER_pval	RANK_AT_MAX	LEADING_EDGE
REACTOME_OLFACTORY_SIGNALING_PATHWAY	384	0.583802918304066	2.77766792577236	1.14426591335431e-38	1.38473201686602e-35	1.38473201686602e-35	NA	OR5B21,OR7G1,OR1B1,OR51Q1,OR10H5,OR2T5,OR5M8,LHX2,OR2T29,OR8A1,GNAL,OR4D11,OR2B2,OR2T27,OR2V2,OR52K1,OR2L8,OR51B2,OR5H15,OR1M1,OR2T6,OR3A2,OR2H2,OR4N5,OR6T1,OR10D3,OR56A4,OR1N1,OR6B1,OR1L3,OR2G2,OR1F1,OR9I1,OR1J4,OR3A3,OR4F15,OR11H6,OR2F2,OR5D16,OR52R1,OR52E2,OR52B2,OR8I2,OR6C1,OR11G2,OR51S1,OR1Q1,OR52I2,OR52W1,OR4X2,OR4A16,OR2J3,OR8D2,OR8S1,OR1G1,OR8B4,OR10H1,OR1E2,OR2F1,OR14J1,OR2T1,OR10V1,OR6B2,OR10A2,OR5B2,OR1I1,OR6C68,OR5K2,OR4X1,OR52Z1P,OR5AU1,OR5L1,OR6C76,OR5D13,OR2AT4,OR6P1,OR9G9,OR1C1,OR5H1,OR56B1,OR8G1,OR52E6,OR10A5,OR2M5,OR6C74,OR2AP1,OR6C75,OR10J1,OR5K1,OR14C36,OR2K2,OR13C9,OR10K2,OR5D18,OR5D14,OR5AR1,OR13D1,OR5C1,OR52D1,OR4C46,OR6B3,OR6K6,OR10K1,OR6N1,OR9Q2,OR6A2,OR8B3,OR2D2,OR14I1,OR56A1,OR52E4,OR5J2,OR4C45,OR5B17,OR51V1,OR2T11,OR4C3,OR2H1,OR6C4,OR2B11,OR10H4,OR56B4,OR6C6,GNG13,OR51L1,OR10Z1,OR5AP2,OR6F1,OR52N2,OR4C16,OR5L2,OR8B8,OR1J1,OR5M11,OR5T2,OR10A7,OR2M7,OR13A1,OR5A1,OR2AK2,OR2W1,OR10G3,OR5P3,OR2G6,OR8D1,OR51B4,RTP1,OR4C12,OR4D10,OR4D9,OR13F1,OR51M1,OR13C5,OR8B2,RTP2,OR52L1,OR51I1,OR13C2,OR9K2,OR1D5,OR51G1,OR7A5,OR2T12,OR52K2,OR4F5,OR4C13,OR2G3,OR10G8,OR9A4,OR13C8,OR4P4,OR2L13,OR2D3,OR10A4,OR1L4,OR2L3,OR4Q3,OR6C70,OR4S2,OR10G4,OR4F17,OR5F1,OR4D2,OR2J2,OR4K17,OR1N2,OR13J1,OR1D2,OR4D1,OR9Q1,OR2A2,OR1L8,OR5B12,OR1E1,OR5M1,OR7A17,OR1A1,OR51B6,OR10G9,OR10H2,OR8H3,OR7C2,OR4F4,OR2T34,OR10J3,OR4E2,OR1D4,OR5K3,OR9G4,ANO2,OR9A2,OR5M10,OR5M9,OR11L1,OR10R2,OR51B5,OR5AK2,OR5P2,OR8H1,OR52B6,OR4A47,OR51T1,OR2C1,OR12D2,OR4C15,OR2T2,OR5K4,OR10A3,OR10W1,OR2M3,OR7D2,OR5B3,OR8D4,OR3A1,OR52A1,OR5AS1,OR51A4,OR2A5,OR13G1,OR4L1,OR4F6,OR8B12,OR2AG1,EBF1,OR2T35,OR52E8,OR8U3,OR8J3,OR2L5,OR7D4,OR7E24,OR51A2
KEGG_OLFACTORY_TRANSDUCTION	383	0.58267967257187	2.7706623306222	2.02742608618744e-38	1.38473201686602e-35	1.38473201686602e-35	NA	OR5B21,OR7G1,OR1B1,OR51Q1,OR10H5,OR2T5,OR5M8,GUCA1C,OR2T29,OR8A1,CLCA4,GNAL,OR4D11,OR2B2,OR2T27,OR2V2,OR52K1,OR2L8,OR51B2,OR1M1,OR2T6,OR3A2,OR2H2,OR4N5,OR6T1,PDC,OR56A4,OR1N1,OR6B1,OR1L3,OR2G2,OR1F1,OR9I1,OR1J4,OR3A3,OR4F15,OR11H6,OR2F2,OR5D16,OR52R1,OR52E2,OR52B2,OR8I2,OR6C1,OR11G2,OR51S1,OR1Q1,CLCA2,OR52I2,OR52W1,OR4X2,OR4A16,OR2J3,OR8D2,OR8S1,OR1G1,OR8B4,OR10H1,OR1E2,OR2F1,OR14J1,OR2T1,OR10V1,OR6B2,OR10A2,OR1I1,OR6C68,OR5K2,OR4X1,OR5AU1,OR5L1,OR6C76,OR5D13,OR2AT4,OR1C1,OR56B1,OR8G1,OR52E6,OR10A5,OR2M5,PRKX,OR6C74,OR6C75,OR10J1,OR5K1,GUCA1B,OR14C36,OR2K2,OR13C9,OR10K2,CALML3,OR5D18,OR5D14,OR5AR1,OR13D1,OR5C1,OR52D1,OR4C46,OR6B3,OR6K6,OR10K1,OR6N1,OR9Q2,OR6A2,OR2D2,OR14I1,OR56A1,OR52E4,OR5J2,OR4C45,OR5B17,OR51V1,OR2T11,OR4C3,OR2H1,OR6C4,OR2B11,OR10H4,OR56B4,OR6C6,OR51L1,OR10Z1,OR5AP2,OR6F1,OR52N2,OR4C16,OR5L2,OR8B8,OR1J1,OR5M11,OR5T2,OR10A7,OR2M7,OR13A1,OR5A1,OR2AK2,OR2W1,OR10G3,OR5P3,OR2G6,OR8D1,OR51B4,OR4C12,OR4D10,CAMK2B,OR4D9,OR13F1,OR51M1,OR13C5,OR8G2P,OR52B4,OR52L1,OR51I1,OR13C2,OR9K2,PDE1C,OR1D5,OR51G1,OR7A5,OR2T12,OR52K2,OR4F5,OR4C13,OR2G3,OR10G8,PRKG1,OR9A4,OR13C8,OR4P4,OR2L13,OR2D3,OR10A4,OR1L4,CAMK2A,OR2L3,OR4Q3,OR6C70,OR4S2,OR10G4,OR4F17,OR5F1,OR4D2,OR2J2,OR4K17,OR1N2,OR13J1,OR1D2,OR4D1,OR9Q1,OR2A2,OR1L8,PRKACG,OR5B12,OR1E1,OR5M1,OR7A17,OR1A1,CNGA3,OR51B6,OR10G9,OR10H2,OR8H3,OR7C2,OR4F4,OR2T34,OR10J3,OR4E2,OR1D4,OR9G4,OR9A2,OR5M10,OR5M9,OR11L1,OR10R2,OR51B5,OR5AK2,OR5P2,OR8H1,OR52B6,OR4A47,OR51T1,OR2C1,OR12D2
REACTOME_KERATINIZATION	192	0.569874435547197	2.50402824670507	7.43442874665786e-18	1.26942870849183e-15	1.26942870849183e-15	NA	PKP2,PI3,KRT13,KRT75,KRT19,LCE1E,KRT86,KRT81,SPRR2E,KRT76,KRTAP26-1,KRTAP10-11,SPRR2D,LELP1,KRT34,KRT83,KRTAP1-3,KRTAP5-8,KRTAP4-2,KRTAP10-6,KRT23,TGM1,KRTAP13-3,KRTAP3-2,KRTAP1-1,LCE2A,KLK8,IVL,KRT8,SPRR3,KRTAP12-2,KRTAP4-9,KRTAP4-11,KRTAP29-1,KRTAP5-1,KRT27,KRTAP10-7,EVPL,KRT25,KRTAP9-7,KRTAP13-4,KRT26,KRT73,SPRR2A,KRT74,KRTAP5-4,KRTAP4-7,KRTAP5-2,KRT36,SPRR1A,KRTAP24-1,DSG4,KRT9,KRTAP11-1,LCE3D,KRTAP9-2,KRTAP2-2,KRTAP4-1,KRTAP9-8,KRT24,KRT17,DSP,KRTAP10-4,KRT7,KRT72,KRTAP12-1,KRT78,JUP,KRTAP4-6,LCE1B,KRTAP13-1,KRTAP2-3,KRTAP5-9,RPTN,KRT32,LCE3E,KRT18,KRT71,KRTAP4-4,LIPM,KRTAP16-1,KRT80,KRT38,KRTAP6-3,KRT79,TCHH,KRTAP5-7,KRTAP13-2,DSG3,KRTAP3-1,KRT37,KRTAP1-5,KRTAP10-10,PCSK6,KRTAP2-4,PKP3,KRT40,KRTAP3-3,KRTAP9-1,LCE1D,KRT31,FLG,SPRR1B,KRT39,KRT6C
REACTOME_GPCR_LIGAND_BINDING	450	0.517174038988847	2.49505326776692	7.72583383851893e-30	2.63837225585422e-27	2.63837225585422e-27	NA	HRH1,PPBP,CRHR2,GRM8,WNT1,NPBWR1,ACKR1,PTH1R,LPAR5,WNT6,CXCL10,GPHB5,RLN3,GPR17,TAS2R9,TAS2R3,CMKLR1,NPW,CCL13,PRLHR,NMU,PTGDR2,NPY2R,CCR8,WNT11,LTB4R2,CXCR6,TAS2R38,CCL19,P2RY14,CALCA,FZD9,EDN2,OPRL1,WNT16,GALR1,NPY5R,XCL2,GCG,S1PR5,GPR37,WNT9A,SST,WNT5A,GCGR,GNG2,RXFP3,OPRD1,PTCH2,XCR1,TAS1R2,CXCL2,CALCR,CXCL5,GPR35,GPR39,FSHR,CCL4,HCRTR1,F2R,CXCR1,HTR1B,FZD10,INSL3,CCL5,ADRA2C,MC4R,CXCL1,DRD1,ECE2,GALR3,TAS2R8,ADORA2A,SSTR4,TAAR6,KNG1,EDNRA,DRD2,HCRTR2,OPRM1,HTR2B,P2RY12,NMUR2,CNR2,GAL,ADCYAP1R1,HTR6,HTR4,CX3CL1,AVPR1B,TAS1R3,PYY,WNT8B,CGA,RAMP1,CX3CR1,GLP1R,DHH,OPRK1,TAS2R40,MTNR1A,MLNR,AGT,GIPR,FZD8,NPSR1,WNT3,CCR4,PROKR1,CCR10,TRH,PROKR2,MC1R,CCL7,CCL20,NPBWR2,CCL2,TAS2R5,NMBR,GRP,CXCL9,WNT10B,PLPPR2,CASR,VIPR1,WNT10A,S1PR1,ADRA1D,P2RY10,RAMP3,WNT3A,CCL17,SSTR1,ADRA2B,CCR3,F2RL1,CRHR1,CHRM5,CXCR5,APLNR,TAAR5,GNG13,XCL1,HRH2,CNR1,S1PR3,C5AR2,GPER1,GPR132,PTGFR,GPR4,HTR1D,GHRH,CXCL11,TAS1R1,CHRM1,CORT,P2RY6,CXCL8,PTCH1,WNT4,GRM1,CXCL3,LPAR3,S1PR2,TAS2R42,LHCGR,OXER1,HTR1A,FFAR2,GPR183,FPR2,CCR7,GPR18,PF4,ADRA2A,KEL,CCR9,DRD5,TAS2R39,GNG7,HTR1E,CHRM3,FZD4,SSTR2,PTGIR,PTGDR,TACR2,GRM3,WNT2,ADRA1A
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	320	0.525389993543291	2.45680921553312	3.28310357515118e-22	6.4067421195093e-20	6.4067421195093e-20	NA	HRH1,PPBP,NPBWR1,ACKR1,LPAR5,CXCL10,GPHB5,RLN3,GPR17,CMKLR1,NPW,CCL13,PRLHR,NMU,PTGDR2,NPY2R,CCR8,LTB4R2,CXCR6,CCL19,P2RY14,EDN2,OPRL1,GALR1,NPY5R,XCL2,S1PR5,GPR37,SST,RXFP3,OPRD1,XCR1,CXCL2,CXCL5,GPR35,GPR39,FSHR,CCL4,HCRTR1,F2R,CXCR1,HTR1B,INSL3,CCL5,ADRA2C,MC4R,CXCL1,DRD1,ECE2,GALR3,ADORA2A,SSTR4,TAAR6,KNG1,EDNRA,DRD2,HCRTR2,OPRM1,HTR2B,P2RY12,NMUR2,CNR2,GAL,HTR6,HTR4,CX3CL1,AVPR1B,PYY,CGA,CX3CR1,OPRK1,MTNR1A,MLNR,AGT,NPSR1,CCR4,PROKR1,CCR10,TRH,PROKR2,MC1R,CCL7,CCL20,NPBWR2,CCL2,NMBR,GRP,CXCL9,PLPPR2,S1PR1,ADRA1D,P2RY10,CCL17,SSTR1,ADRA2B,CCR3,F2RL1,CHRM5,CXCR5,APLNR,TAAR5,XCL1,HRH2,CNR1,S1PR3,C5AR2,GPER1,GPR132,PTGFR,GPR4,HTR1D,CXCL11,CHRM1,CORT,P2RY6,CXCL8,CXCL3,LPAR3,S1PR2,LHCGR,OXER1,HTR1A,FFAR2,GPR183,FPR2,CCR7,GPR18,PF4,ADRA2A,KEL,CCR9,DRD5
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	187	0.554001923498186	2.41567451001904	3.70411583763867e-16	4.59983839474039e-14	4.59983839474039e-14	NA	PPBP,NPBWR1,ACKR1,CXCL10,RLN3,NPW,CCL13,PRLHR,NMU,NPY2R,CCR8,CXCR6,CCL19,EDN2,OPRL1,GALR1,NPY5R,XCL2,GPR37,SST,RXFP3,OPRD1,XCR1,CXCL2,CXCL5,CCL4,HCRTR1,F2R,CXCR1,INSL3,CCL5,MC4R,CXCL1,ECE2,GALR3,SSTR4,KNG1,EDNRA,HCRTR2,OPRM1,NMUR2,GAL,CX3CL1,AVPR1B,PYY,CX3CR1,OPRK1,MLNR,AGT,NPSR1,CCR4,PROKR1,CCR10,TRH,PROKR2,MC1R,CCL7,CCL20,NPBWR2,CCL2,NMBR,GRP,CXCL9,CCL17,SSTR1,CCR3,F2RL1,CXCR5,APLNR,XCL1,C5AR2,GPER1,CXCL11,CORT,CXCL8,CXCL3,FPR2,CCR7,PF4,KEL,CCR9
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	271	0.514043296439807	2.35566229589126	1.56974917043691e-17	2.14427736681682e-15	2.14427736681682e-15	NA	HRH1,CRHR2,GRM8,NPBWR1,PTH1R,GABRR2,CHRNA4,CHRNA10,PRLHR,NPY2R,LTB4R2,P2RY14,OPRL1,GALR1,NPY5R,S1PR5,MAS1,GZMA,GCGR,OPRD1,CALCR,GPR35,FSHR,HCRTR1,F2R,P2RY8,HTR1B,ADRA2C,MC4R,DRD1,GALR3,ADORA2A,SSTR4,TAAR6,EDNRA,DRD2,HCRTR2,OPRM1,HTR2B,NMUR2,CNR2,ADCYAP1R1,HTR6,HTR4,AVPR1B,GRIN2A,CGA,GLP1R,OPRK1,GRIN2D,CHRNB1,MTNR1A,MLNR,GIPR,MC1R,NPBWR2,GLRA1,NMBR,VIPR1,S1PR1,ADRA1D,P2RY10,GRIN2C,GH2,SSTR1,ADRA2B,GABRP,F2RL1,CRHR1,CHRM5,APLNR,GRIN1,CHRNA1,TAAR5,GABRB2,HRH2,CNR1,S1PR3,PTGFR,HTR1D,CHRM1,GABRB3,P2RY6,GRIK4,GRM1,LPAR3,S1PR2,CSH1,LHCGR,PLG,HTR1A,FPR2,ADRA2A,DRD5,HTR1E,CHRM3,GRID1,SSTR2,CHRNG,P2RX2,PTGIR,PTGDR,TACR2,GRM3,ADRA1A,GRIK3,GABRD,NTSR2,GABBR2,GHSR,GABRA4,CCKAR,GRIN2B,CYSLTR2,GRIA2,RXFP2,GABRA3,GLRB,CCKBR,P2RX5,PRSS1,GRIN3A,TRHR,SCTR,GRIA4,GABRB1,GLRA3,HRH3,THRB,AVPR1A,OXTR,GRM4,ADORA3,GHRHR,CHRM4,GNRHR,GRM7,ADRB3,GRIA3,GHR,HTR5A,NPY4R,PRSS3,GH1,SSTR5,GRIK2,TACR1,LEP,BDKRB2,TAAR2,GABRG1,GABBR1,CHRND,KISS1R,CHRNA9,MC3R,RXFP1,CHRNB2,F2,ADORA1,GABRA5,PTGER2,PTH2R,TAAR1,TBXA2R,HTR1F,NTSR1,GRM5
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	53	0.644342242148626	2.29272182781913	3.66522387513952e-08	8.48592510752641e-07	8.48592510752641e-07	NA	PPBP,CXCL10,CCL13,CCR8,CXCR6,CCL19,XCL2,XCR1,CXCL2,CXCL5,CCL4,CXCR1,CCL5,CXCL1,CX3CL1,CX3CR1,CCR4,CCR10,CCL7,CCL20,CCL2,CXCL9,CCL17,CCR3,CXCR5,XCL1,CXCL11,CXCL8,CXCL3,CCR7,PF4,CCR9
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	123	0.556573678718303	2.28339570771983	2.93477764573285e-11	1.57928430205623e-09	1.57928430205623e-09	NA	PKP2,PI3,KRT13,KRT75,KRT19,LCE1E,KRT86,KRT81,SPRR2E,KRT76,SPRR2D,LELP1,KRT34,KRT83,KRT23,TGM1,LCE2A,KLK8,IVL,KRT8,SPRR3,KRT27,EVPL,KRT25,KRT26,KRT73,SPRR2A,KRT74,KRT36,SPRR1A,DSG4,KRT9,LCE3D,KRT24,KRT17,DSP,KRT7,KRT72,KRT78,JUP,LCE1B,RPTN,KRT32,LCE3E,KRT18,KRT71,LIPM,KRT80,KRT38,KRT79,TCHH,DSG3,KRT37,PCSK6,PKP3,KRT40,LCE1D,KRT31,FLG,SPRR1B,KRT39,KRT6C
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	261	0.453116471812674	2.06812747786271	3.00595840801332e-11	1.57928430205623e-09	1.57928430205623e-09	NA	PPBP,CXCL10,CCL8,CCL13,IFNA17,CCR8,CXCR6,CCL19,IL20RB,IL18RAP,TNFRSF4,XCL2,CD70,IFNA13,IFNA21,CCL24,CNTF,CLCF1,XCR1,IL2RA,CXCL2,TNFSF11,OSM,TNFRSF10C,CXCL5,TNFRSF8,CCL4,CXCR1,CXCL14,IL1R2,CCL5,CXCL1,IL21,PDGFA,IFNA2,IFNK,IL17B,IFNA14,IL17A,IL6,IL25,IL24,IL21R,IFNB1,TSLP,IL22RA1,IL9R,EDAR,IL5RA,IL23A,CX3CL1,IFNA1,CX3CR1,IL12A,IL20,CCL14,EGF,TNFRSF12A,TNFRSF17,TNFSF4,FLT3,CCR4,CCR10,CCL7,CCL20,VEGFC,CCL2,PDGFRB,CXCL9,TNFRSF25,INHBB,PF4V1,GH2,CCL17,MET,CCR3,CSF2,IFNA16,MPL,CXCR5,BMPR1B,TNFSF18,CCL18,XCL1,CSF2RA,KIT,LTA,IL5,IL20RA,OSMR,IL26,CCL4L2,FLT4,CXCL11,VEGFA,CXCL8,CXCL3,BMPR1A
